id,name,type1,type2,firstability,secondability,weight,height,dexdescription,generacion,imagen
72,tentacool,agua,veneno,clear-body,liquid-ooze,45.5,0.9,Su cuerpo se compone casi en exclusiva de agua. Lanza extraños rayos con sus ojos cristalinos.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png
73,tentacruel,agua,veneno,clear-body,liquid-ooze,55.0,1.6,"Cuando caza, extiende los cortos tentáculos que tiene para atrapar e inmovilizar a su presa.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png
74,geodude,roca,tierra,rock-head,sturdy,20.0,0.4,"Aparecen en llanos y montañas. Como parecen rocas, la gente se tropieza con ellos o los pisa.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png
75,graveler,roca,tierra,rock-head,sturdy,105.0,1.0,"De naturaleza descuidada y libre, no le importa dañarse cuando baja rodando montañas.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png
76,golem,roca,tierra,rock-head,sturdy,300.0,1.4,Se lanza montaña abajo y deja un surco desde la cima hasta el pie. Es mejor mantenerse alejado.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png
77,ponyta,fuego,None,run-away,flash-fire,30.0,1.0,"Cuando nace, apenas puede tenerse en pie. Pero va fortaleciendo las patas en cuanto empieza a galopar.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png
78,rapidash,fuego,None,run-away,flash-fire,95.0,1.7,Galopa a casi 240 km por hora. Su crin ardiente parece una flecha cuando corre.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png
79,slowpoke,agua,psíquico,oblivious,own-tempo,36.0,1.2,"Descansa ocioso junto al agua. Si algo muerde su cola, no lo notará en todo el día.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png
80,slowbro,agua,psíquico,oblivious,own-tempo,78.5,1.6,"Tiene una cola tan apetecible, que el Shellder que va enganchado a ella no se soltará por nada del mundo.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png
81,magnemite,eléctrico,acero,magnet-pull,sturdy,6.0,0.3,Las unidades a los lados de su cuerpo generan energía antigravitatoria para mantenerlo en el aire.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png
82,magneton,eléctrico,acero,magnet-pull,sturdy,60.0,1.0,Lo constituye un grupo de Magnemite. Descarga potentes ondas magnéticas de alto voltaje.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png
83,farfetchd,normal,volador,keen-eye,inner-focus,15.0,0.8,El puerro que lleva es su mejor arma. Suele usarlo como espada para cortar cosas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png
84,doduo,normal,volador,run-away,early-bird,39.2,1.4,"Este Pokémon de dos cabezas es el resultado de una mutación. Cuando corre, puede alcanzar casi 100 km por hora.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png
85,dodrio,normal,volador,run-away,early-bird,85.2,1.8,"Más vale no perder de vista ninguna de las tres cabezas. De lo contrario, el número de picotazos será enorme.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png
86,seel,agua,None,thick-fat,hydration,90.0,1.1,Este Pokémon vive en icebergs. Nada en el mar y usa el cuerno de su cabeza para romper el hielo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png
87,dewgong,agua,hielo,thick-fat,hydration,120.0,1.7,Está recubierto de un luminoso pelaje blanco. Este Pokémon aumenta su actividad cuando bajan las temperaturas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png
88,grimer,veneno,None,stench,sticky-hold,30.0,0.9,Nace de lodo alterado al filtrarse en el agua los rayos X reflejados por la Luna. Se alimenta de sustancias desagradables.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png
89,muk,veneno,None,stench,sticky-hold,30.0,1.2,"Les encanta reunirse en zonas apestosas donde se acumula el lodo, haciendo su olor más insoportable.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png
90,shellder,agua,None,shell-armor,skill-link,4.0,0.3,La concha lo protege de cualquier tipo de ataque. Solo es vulnerable cuando se abre.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png
91,cloyster,agua,hielo,shell-armor,skill-link,132.5,1.5,A los Cloyster que viven en las fuertes corrientes marinas les crecen largas y afiladas púas en la concha.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png
92,gastly,fantasma,veneno,levitate,None,0.1,1.3,Su etéreo cuerpo está hecho de gas. Puede envolver a un oponente de cualquier tamaño hasta ahogarlo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png
93,haunter,fantasma,veneno,levitate,None,0.1,1.6,"Cuando tienes la sensación de que te están observando, seguro que es porque Haunter está cerca.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png
94,gengar,fantasma,veneno,cursed-body,None,40.5,1.5,"Se esconde entre las sombras. Se dice que donde Gengar acecha, la temperatura baja 5 °C.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png
95,onix,roca,tierra,rock-head,sturdy,210.0,8.8,Cava a gran velocidad en busca de comida. Los túneles que deja son usados por los Diglett.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png
96,drowzee,psíquico,None,insomnia,forewarn,32.4,1.0,Adormece a sus enemigos y se come sus sueños. A veces se pone enfermo si come pesadillas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png
97,hypno,psíquico,None,insomnia,forewarn,75.6,1.6,"Lleva un péndulo en la mano. Una vez, hizo desaparecer a un niño al que había hipnotizado.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png
98,krabby,agua,None,hyper-cutter,shell-armor,6.5,0.4,"Ante el peligro, se camufla con las burbujas que desprende su boca, para parecer más grande.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png
99,kingler,agua,None,hyper-cutter,shell-armor,60.0,1.3,"La pinza tan grande que tiene posee una fuerza de 10 000 caballos de potencia. Pero, por su gran tamaño, cuesta moverla.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png
100,voltorb,eléctrico,None,soundproof,static,10.4,0.5,Fue descubierto cuando se crearon las Poké Balls. Se dice que tiene algo que ver con ellas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png
101,electrode,eléctrico,None,soundproof,static,66.6,1.2,Explotan a la mínima. Por eso se les tiene mucho miedo. Estos Pokémon reciben el mote de Bomba Ball.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png
102,exeggcute,planta,psíquico,chlorophyll,harvest,2.5,0.4,"Estos seis huevos se comunican por telepatía. Si se separan, se pueden reunir rápidamente.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png
103,exeggutor,planta,psíquico,chlorophyll,harvest,120.0,2.0,"Sus tres cabezas piensan de forma independiente. Sin embargo, son amigas y no suelen discutir nunca.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png
104,cubone,tierra,None,rock-head,lightning-rod,6.5,0.4,Lleva puesto el cráneo de su madre. Cuando se siente solo se pone a gritar muy fuerte.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png
105,marowak,tierra,None,rock-head,lightning-rod,45.0,1.0,"Es pequeño y siempre ha sido muy débil. Cuando empezó a usar huesos, se volvió más violento.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png
106,hitmonlee,lucha,None,limber,reckless,49.8,1.5,"Encoge y estira las patas a su antojo. Cuando las estira, es capaz de propinar una buena patada al enemigo.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png
107,hitmonchan,lucha,None,keen-eye,iron-fist,50.2,1.4,Los potentes golpes de sus brazos pueden pulverizar el hormigón. Descansa tras luchar tres minutos.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png
108,lickitung,normal,None,own-tempo,oblivious,65.5,1.2,"Su larga lengua, recubierta de saliva pegajosa, se pega a todo, por lo que es muy útil.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png
109,koffing,veneno,None,levitate,neutralizing-gas,1.0,0.6,Tiene forma de globo y es muy ligero. Está compuesto por gases tóxicos y apesta.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png
110,weezing,veneno,None,levitate,neutralizing-gas,9.5,1.2,"Si uno de los gemelos Koffing se infla, el otro se desinfla. Mezclan constantemente sus venenosos gases.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png
111,rhyhorn,tierra,roca,lightning-rod,rock-head,115.0,1.0,"Es muy fuerte, pero no especialmente listo. Es capaz de derribar rascacielos usando Placaje varias veces.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png
112,rhydon,tierra,roca,lightning-rod,rock-head,120.0,1.9,La piel le sirve de escudo protector. Puede vivir en lava líquida a 2000 °C de temperatura.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png
113,chansey,normal,None,natural-cure,serene-grace,34.6,1.1,Se dice que reparte felicidad. Se caracteriza por su compasión y reparte sus huevos entre la gente herida.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png
114,tangela,planta,None,chlorophyll,leaf-guard,35.0,1.0,Se camufla con la multitud de lianas que envuelven su cuerpo y que no dejan de crecer a lo largo de toda su vida.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png
115,kangaskhan,normal,None,early-bird,scrappy,80.0,2.2,Lleva a su cría en la bolsa de su panza. Solo deja que su cría salga a jugar cuando no siente peligro.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png
116,horsea,agua,None,swift-swim,sniper,8.0,0.4,Es famoso por derribar a bichos voladores lanzando tinta desde la superficie del agua.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png
117,seadra,agua,None,poison-point,sniper,25.0,1.2,Las afiladas púas que le recubren el cuerpo se le erizan y pueden causar el debilitamiento con solo tocarlo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png
118,goldeen,agua,None,swift-swim,water-veil,15.0,0.6,"Nada a una velocidad de cinco nudos. Si siente peligro, golpea con su afilado cuerno.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png
119,seaking,agua,None,swift-swim,water-veil,39.0,1.3,"En otoño, cuando se reproducen, se les puede ver nadando con energía por ríos y arroyos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png
120,staryu,agua,None,illuminate,natural-cure,34.5,0.8,"Aunque sus brazos se rompan podrán regenerarse, siempre y cuando su núcleo siga intacto.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png
121,starmie,agua,psíquico,illuminate,natural-cure,80.0,1.1,Su núcleo central brilla con los colores del arcoíris. Para algunos tiene el valor de una gema.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png
122,mr-mime,psíquico,hada,soundproof,filter,54.5,1.3,"Para repeler ataques, solidifica el aire y crea muros invisibles con emanaciones de sus dedos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png
123,scyther,bicho,volador,swarm,technician,56.0,1.5,Destroza a su presa con las guadañas que tiene. No es común que use las alas para volar.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png
124,jynx,hielo,psíquico,oblivious,forewarn,40.6,1.4,Camina moviendo las caderas de forma llamativa. Puede hacer que la gente baile a su ritmo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png
125,electabuzz,eléctrico,None,static,vital-spirit,30.0,1.1,"Por la superficie de su piel corre la electricidad. En la oscuridad, su cuerpo se torna blanquecino.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png
126,magmar,fuego,None,flame-body,vital-spirit,44.5,1.3,A este Pokémon se lo encontraron cerca de un volcán. Esta criatura ígnea tiene una temperatura corporal de unos 1200 °C.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png
127,pinsir,bicho,None,hyper-cutter,mold-breaker,55.0,1.5,Atrapa presas con sus pinzas hasta que las parte en dos. Lanza lejos lo que no puede quebrar.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png
